,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
JUN.FOS.CACYBP2,9.57E-05,0.282700344,0.588,0.534,1,JUN.FOS,CACYBP
JUN.FOS.MID1IP12,0.000172186,0.280940031,0.391,0.318,1,JUN.FOS,MID1IP1
JUN.FOS.RGS2,1.20E-07,0.279183332,0.316,0.206,0.003758934,JUN.FOS,RGS2
JUN.FOS.NKX2-14,1.20E-05,0.2791132,0.713,0.666,0.375154847,JUN.FOS,NKX2-1
JUN.FOS.NEDD4L3,1.12E-06,0.274008864,0.586,0.52,0.034865313,JUN.FOS,NEDD4L
JUN.FOS.KLF4,1.04E-07,0.272460087,0.331,0.239,0.003251186,JUN.FOS,KLF4
JUN.FOS.CIT3,0.000286494,0.270887021,0.345,0.283,1,JUN.FOS,CIT
JUN.FOS.BTG11,0.000228664,0.270404618,0.815,0.801,1,JUN.FOS,BTG1
JUN.FOS.SLC5A31,3.82E-07,0.269936171,0.362,0.287,0.011913517,JUN.FOS,SLC5A3
JUN.FOS.C1S3,0.005871336,0.268860246,0.398,0.352,1,JUN.FOS,C1S
JUN.FOS.MT-ND13,1.95E-07,0.265574478,0.997,0.988,0.006073595,JUN.FOS,MT-ND1
JUN.FOS.JADE11,0.000112218,0.262874319,0.325,0.252,1,JUN.FOS,JADE1
JUN.FOS.MT-ATP64,2.14E-06,0.262762759,0.994,0.989,0.066820905,JUN.FOS,MT-ATP6
JUN.FOS.SQSTM12,3.78E-08,0.262309894,0.855,0.795,0.001179724,JUN.FOS,SQSTM1
JUN.FOS.MAT2A,9.41E-06,0.253182732,0.517,0.444,0.29377079,JUN.FOS,MAT2A
JUN.FOS.TENT5A2,0.008295164,0.250413683,0.256,0.213,1,JUN.FOS,TENT5A
JUN.FOS.NA,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.1,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.2,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.3,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.4,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.5,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.6,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.7,NA,NA,NA,NA,NA,NA,NA
JUN.FOS.NA.8,NA,NA,NA,NA,NA,NA,NA
TNFA.NFKB.CXCL21,8.20E-170,2.043943204,0.854,0.316,2.56E-165,TNFA.NFKB,CXCL2
TNFA.NFKB.NFKBIA1,7.69E-171,1.72227682,0.979,0.796,2.40E-166,TNFA.NFKB,NFKBIA
TNFA.NFKB.CCL203,6.23E-23,1.514360876,0.359,0.17,1.95E-18,TNFA.NFKB,CCL20
TNFA.NFKB.CXCL81,2.51E-28,1.380485571,0.475,0.279,7.84E-24,TNFA.NFKB,CXCL8
TNFA.NFKB.CXCL1,2.15E-32,1.370480204,0.46,0.245,6.70E-28,TNFA.NFKB,CXCL1
TNFA.NFKB.SOD23,5.38E-41,1.068792518,0.81,0.625,1.68E-36,TNFA.NFKB,SOD2
TNFA.NFKB.NCOA71,4.16E-68,1.066097135,0.801,0.522,1.30E-63,TNFA.NFKB,NCOA7
TNFA.NFKB.CXCL3,2.34E-38,1.001614456,0.39,0.138,7.29E-34,TNFA.NFKB,CXCL3
TNFA.NFKB.ZFP364,1.31E-48,0.892118762,0.908,0.708,4.10E-44,TNFA.NFKB,ZFP36
TNFA.NFKB.IER31,3.90E-35,0.86235589,0.828,0.668,1.22E-30,TNFA.NFKB,IER3
TNFA.NFKB.BIRC31,2.34E-33,0.849620116,0.547,0.295,7.29E-29,TNFA.NFKB,BIRC3
TNFA.NFKB.LTF2,0.002854358,0.805306972,0.148,0.104,1,TNFA.NFKB,LTF
TNFA.NFKB.ICAM11,9.83E-29,0.796091086,0.676,0.479,3.07E-24,TNFA.NFKB,ICAM1
TNFA.NFKB.G0S21,4.30E-08,0.791036136,0.328,0.223,0.001342159,TNFA.NFKB,G0S2
TNFA.NFKB.KLF63,1.76E-28,0.786141488,0.886,0.75,5.50E-24,TNFA.NFKB,KLF6
TNFA.NFKB.IRF11,2.36E-36,0.785146182,0.586,0.339,7.37E-32,TNFA.NFKB,IRF1
TNFA.NFKB.DUSP15,1.67E-44,0.760910991,0.936,0.802,5.22E-40,TNFA.NFKB,DUSP1
TNFA.NFKB.EGR13,1.83E-35,0.755307882,0.77,0.549,5.70E-31,TNFA.NFKB,EGR1
TNFA.NFKB.JUNB2,1.04E-57,0.742571802,0.956,0.827,3.23E-53,TNFA.NFKB,JUNB
TNFA.NFKB.S100A9,0.001548114,0.740369941,0.542,0.501,1,TNFA.NFKB,S100A9
TNFA.NFKB.TNFAIP21,5.58E-18,0.735746858,0.381,0.229,1.74E-13,TNFA.NFKB,TNFAIP2
TNFA.NFKB.ELF32,9.65E-41,0.718180458,0.936,0.855,3.01E-36,TNFA.NFKB,ELF3
TNFA.NFKB.C11orf962,1.16E-14,0.708956661,0.386,0.222,3.63E-10,TNFA.NFKB,C11orf96
TNFA.NFKB.ATF33,3.19E-32,0.688906132,0.614,0.38,9.96E-28,TNFA.NFKB,ATF3
TNFA.NFKB.SOCS31,1.64E-30,0.676294363,0.694,0.49,5.11E-26,TNFA.NFKB,SOCS3
TNFA.NFKB.RHOB2,1.98E-31,0.671450177,0.906,0.781,6.18E-27,TNFA.NFKB,RHOB
TNFA.NFKB.JUN3,8.55E-37,0.666851806,0.967,0.891,2.67E-32,TNFA.NFKB,JUN
TNFA.NFKB.TCIM4,1.09E-11,0.665477215,0.428,0.31,3.40E-07,TNFA.NFKB,TCIM
TNFA.NFKB.ZFP36L12,8.38E-43,0.664003232,0.975,0.93,2.62E-38,TNFA.NFKB,ZFP36L1
TNFA.NFKB.CEBPB3,8.47E-28,0.655915376,0.876,0.757,2.64E-23,TNFA.NFKB,CEBPB
TNFA.NFKB.FOS3,3.22E-31,0.647685021,0.959,0.861,1.00E-26,TNFA.NFKB,FOS
TNFA.NFKB.STEAP43,2.80E-07,0.634947453,0.463,0.353,0.008739253,TNFA.NFKB,STEAP4
TNFA.NFKB.CCL21,8.67E-07,0.61498437,0.199,0.101,0.027055306,TNFA.NFKB,CCL2
TNFA.NFKB.RND12,7.72E-36,0.60617822,0.363,0.153,2.41E-31,TNFA.NFKB,RND1
TNFA.NFKB.FOSB2,3.49E-28,0.605072452,0.812,0.618,1.09E-23,TNFA.NFKB,FOSB
TNFA.NFKB.RRAD1,1.19E-18,0.60020478,0.403,0.247,3.71E-14,TNFA.NFKB,RRAD
TNFA.NFKB.BTG22,1.41E-23,0.590126347,0.648,0.464,4.41E-19,TNFA.NFKB,BTG2
TNFA.NFKB.PNRC12,1.55E-34,0.582791369,0.835,0.706,4.84E-30,TNFA.NFKB,PNRC1
TNFA.NFKB.SERPINA13,0.001684184,0.574630181,0.618,0.624,1,TNFA.NFKB,SERPINA1
TNFA.NFKB.C35,5.73E-05,0.567915976,0.466,0.36,1,TNFA.NFKB,C3
TNFA.NFKB.MCL14,5.27E-27,0.560117632,0.882,0.767,1.64E-22,TNFA.NFKB,MCL1
TNFA.NFKB.CEBPD1,1.64E-21,0.554440564,0.903,0.836,5.12E-17,TNFA.NFKB,CEBPD
TNFA.NFKB.SAT11,1.82E-37,0.552831117,0.995,0.973,5.69E-33,TNFA.NFKB,SAT1
TNFA.NFKB.TSC22D11,6.38E-26,0.548366498,0.847,0.713,1.99E-21,TNFA.NFKB,TSC22D1
TNFA.NFKB.GADD45B2,5.65E-18,0.546435896,0.585,0.448,1.76E-13,TNFA.NFKB,GADD45B
TNFA.NFKB.TNFAIP3,2.29E-34,0.544032047,0.333,0.109,7.15E-30,TNFA.NFKB,TNFAIP3
TNFA.NFKB.NR4A13,2.37E-18,0.535417459,0.5,0.331,7.38E-14,TNFA.NFKB,NR4A1
TNFA.NFKB.ZC3H12A,9.04E-46,0.532424498,0.536,0.263,2.82E-41,TNFA.NFKB,ZC3H12A
TNFA.NFKB.IER21,1.39E-28,0.529892685,0.888,0.756,4.35E-24,TNFA.NFKB,IER2
TNFA.NFKB.BHLHE40,9.80E-23,0.522919762,0.629,0.477,3.06E-18,TNFA.NFKB,BHLHE40
TNFA.NFKB.CP2,1.77E-10,0.517373406,0.684,0.596,5.52E-06,TNFA.NFKB,CP
TNFA.NFKB.CD746,1.86E-12,0.513504934,0.916,0.838,5.80E-08,TNFA.NFKB,CD74
TNFA.NFKB.C8orf4,0.002371959,0.511005468,0.386,0.393,1,TNFA.NFKB,C8orf4
TNFA.NFKB.SDC41,7.04E-18,0.507461411,0.811,0.759,2.20E-13,TNFA.NFKB,SDC4
TNFA.NFKB.NFKBIZ3,1.05E-22,0.50526032,0.633,0.451,3.28E-18,TNFA.NFKB,NFKBIZ
TNFA.NFKB.CCNL13,1.58E-29,0.498246851,0.767,0.594,4.92E-25,TNFA.NFKB,CCNL1
TNFA.NFKB.JUND4,1.04E-16,0.490408459,0.854,0.755,3.24E-12,TNFA.NFKB,JUND
TNFA.NFKB.SFTPA22,0.005633429,0.490064833,0.371,0.358,1,TNFA.NFKB,SFTPA2
TNFA.NFKB.HLA-DRA4,3.55E-15,0.483644522,0.801,0.69,1.11E-10,TNFA.NFKB,HLA-DRA
TNFA.NFKB.REL,2.81E-18,0.480783255,0.646,0.498,8.77E-14,TNFA.NFKB,REL
TNFA.NFKB.RGS163,1.41E-11,0.480586592,0.302,0.184,4.39E-07,TNFA.NFKB,RGS16
TNFA.NFKB.HLA-DPB13,2.81E-13,0.480275177,0.67,0.522,8.76E-09,TNFA.NFKB,HLA-DPB1
TNFA.NFKB.ARRDC31,5.51E-19,0.474456757,0.667,0.521,1.72E-14,TNFA.NFKB,ARRDC3
TNFA.NFKB.TFPI1,1.46E-05,0.47046255,0.587,0.545,0.455556037,TNFA.NFKB,TFPI
TNFA.NFKB.HLA-DRB13,1.20E-10,0.464557959,0.753,0.633,3.75E-06,TNFA.NFKB,HLA-DRB1
TNFA.NFKB.PPP1R15A2,1.28E-14,0.449286683,0.641,0.516,4.00E-10,TNFA.NFKB,PPP1R15A
TNFA.NFKB.TRIB11,1.31E-17,0.448461909,0.613,0.459,4.07E-13,TNFA.NFKB,TRIB1
TNFA.NFKB.PTGS21,0.002512458,0.444656925,0.306,0.249,1,TNFA.NFKB,PTGS2
TNFA.NFKB.IL321,1.22E-11,0.442464058,0.532,0.4,3.81E-07,TNFA.NFKB,IL32
TNFA.NFKB.NRGN2,2.87E-05,0.438202974,0.179,0.133,0.894331841,TNFA.NFKB,NRGN
TNFA.NFKB.NAMPT1,1.18E-12,0.43338829,0.771,0.678,3.70E-08,TNFA.NFKB,NAMPT
TNFA.NFKB.GADD45A1,8.25E-06,0.41789583,0.514,0.473,0.257364537,TNFA.NFKB,GADD45A
TNFA.NFKB.TNFSF102,1.11E-13,0.41352688,0.618,0.465,3.47E-09,TNFA.NFKB,TNFSF10
TNFA.NFKB.SOCS21,8.27E-11,0.411277449,0.274,0.162,2.58E-06,TNFA.NFKB,SOCS2
TNFA.NFKB.SLC34A24,4.16E-11,0.395957602,0.775,0.673,1.30E-06,TNFA.NFKB,SLC34A2
TNFA.NFKB.PIM3,1.46E-17,0.395344042,0.771,0.649,4.57E-13,TNFA.NFKB,PIM3
TNFA.NFKB.HP2,0.001211475,0.385082508,0.109,0.07,1,TNFA.NFKB,HP
TNFA.NFKB.ERRFI13,1.72E-10,0.375318938,0.849,0.782,5.37E-06,TNFA.NFKB,ERRFI1
TNFA.NFKB.EFNA11,4.62E-08,0.369340103,0.689,0.626,0.001441556,TNFA.NFKB,EFNA1
TNFA.NFKB.HLA-DPA13,4.12E-10,0.368503831,0.692,0.552,1.28E-05,TNFA.NFKB,HLA-DPA1
TNFA.NFKB.C15orf481,0.000146924,0.365580861,0.362,0.307,1,TNFA.NFKB,C15orf48
TNFA.NFKB.TMC51,1.88E-13,0.362199546,0.689,0.575,5.86E-09,TNFA.NFKB,TMC5
TNFA.NFKB.NEDD93,3.24E-10,0.360830007,0.57,0.438,1.01E-05,TNFA.NFKB,NEDD9
TNFA.NFKB.HLA-DRB52,0.000292042,0.36057631,0.319,0.244,1,TNFA.NFKB,HLA-DRB5
TNFA.NFKB.CA122,1.70E-05,0.359705732,0.239,0.174,0.529740046,TNFA.NFKB,CA12
TNFA.NFKB.STAT32,1.39E-14,0.35822611,0.812,0.704,4.34E-10,TNFA.NFKB,STAT3
TNFA.NFKB.AREG1,0.000164104,0.356951505,0.502,0.429,1,TNFA.NFKB,AREG
TNFA.NFKB.KLF22,1.53E-05,0.352823297,0.371,0.277,0.477980422,TNFA.NFKB,KLF2
TNFA.NFKB.C4BPA3,0.00230634,0.351110491,0.263,0.216,1,TNFA.NFKB,C4BPA
TNFA.NFKB.SFTPA12,0.005949126,0.350183297,0.321,0.306,1,TNFA.NFKB,SFTPA1
TNFA.NFKB.PDZK1IP11,8.99E-07,0.349795229,0.54,0.449,0.028037794,TNFA.NFKB,PDZK1IP1
TNFA.NFKB.UGCG1,2.08E-09,0.347920603,0.519,0.387,6.50E-05,TNFA.NFKB,UGCG
TNFA.NFKB.HLA-DQB12,2.05E-07,0.343695786,0.672,0.547,0.006391772,TNFA.NFKB,HLA-DQB1
TNFA.NFKB.KLF10,1.54E-07,0.33866334,0.492,0.371,0.004797291,TNFA.NFKB,KLF10
TNFA.NFKB.RNF1451,3.61E-10,0.336993986,0.796,0.725,1.13E-05,TNFA.NFKB,RNF145
TNFA.NFKB.TMEM1651,1.80E-13,0.336440083,0.797,0.705,5.62E-09,TNFA.NFKB,TMEM165
TNFA.NFKB.TYMP1,6.00E-10,0.334854345,0.755,0.661,1.87E-05,TNFA.NFKB,TYMP
TNFA.NFKB.BCL3,3.63E-15,0.334040145,0.465,0.309,1.13E-10,TNFA.NFKB,BCL3
TNFA.NFKB.DEPP1,7.16E-07,0.331720422,0.191,0.106,0.022344545,TNFA.NFKB,DEPP1
TNFA.NFKB.PIGA,8.87E-12,0.324470706,0.306,0.174,2.77E-07,TNFA.NFKB,PIGA
PEMT.KRT173,1.03E-13,1.470461812,0.469,0.33,3.22E-09,PEMT,KRT17
PEMT.LAMC21,5.45E-65,1.242532017,0.664,0.333,1.70E-60,PEMT,LAMC2
PEMT.IL322,1.81E-70,1.224782558,0.746,0.389,5.66E-66,PEMT,IL32
PEMT.AREG2,2.23E-27,1.209846968,0.63,0.422,6.94E-23,PEMT,AREG
PEMT.TNFRSF12A3,2.90E-82,1.197418362,0.886,0.588,9.05E-78,PEMT,TNFRSF12A
PEMT.IGFBP32,1.12E-11,1.109682871,0.428,0.298,3.49E-07,PEMT,IGFBP3
PEMT.TGFBI1,1.29E-27,1.094145329,0.535,0.301,4.02E-23,PEMT,TGFBI
PEMT.COL1A1,2.25E-18,1.089924455,0.628,0.462,7.01E-14,PEMT,COL1A1
PEMT.VIM1,2.39E-27,1.085246057,0.796,0.643,7.45E-23,PEMT,VIM
PEMT.LAMB31,6.72E-52,0.999978667,0.845,0.62,2.10E-47,PEMT,LAMB3
PEMT.KRT73,1.56E-52,0.964732999,0.925,0.832,4.85E-48,PEMT,KRT7
PEMT.PMEPA12,4.06E-39,0.948110642,0.733,0.5,1.27E-34,PEMT,PMEPA1
PEMT.TM4SF12,6.27E-58,0.916587816,0.944,0.806,1.96E-53,PEMT,TM4SF1
PEMT.KRT6A2,4.59E-05,0.91520597,0.136,0.071,1,PEMT,KRT6A
PEMT.PLAU3,3.00E-40,0.89154968,0.526,0.224,9.38E-36,PEMT,PLAU
PEMT.PLAUR1,4.65E-51,0.87302804,0.632,0.329,1.45E-46,PEMT,PLAUR
PEMT.CAV14,1.78E-25,0.870608087,0.607,0.384,5.56E-21,PEMT,CAV1
PEMT.THBS11,6.55E-39,0.856491373,0.472,0.199,2.05E-34,PEMT,THBS1
PEMT.TUBA1A,5.11E-36,0.843390371,0.772,0.541,1.59E-31,PEMT,TUBA1A
PEMT.G0S22,1.26E-08,0.837004088,0.321,0.222,0.000391718,PEMT,G0S2
PEMT.MMP72,1.45E-12,0.831158858,0.471,0.316,4.53E-08,PEMT,MMP7
PEMT.CYR612,2.35E-21,0.829156012,0.591,0.407,7.34E-17,PEMT,CYR61
PEMT.FSTL3,1.85E-72,0.822302402,0.502,0.152,5.78E-68,PEMT,FSTL3
PEMT.SERPINE11,1.77E-25,0.813006819,0.259,0.096,5.51E-21,PEMT,SERPINE1
PEMT.S100A104,9.33E-60,0.794357224,0.991,0.936,2.91E-55,PEMT,S100A10
PEMT.FLNA,7.70E-57,0.787054494,0.845,0.587,2.40E-52,PEMT,FLNA
PEMT.C15orf482,7.77E-21,0.778675732,0.489,0.301,2.42E-16,PEMT,C15orf48
PEMT.FN1,7.71E-21,0.763155236,0.598,0.398,2.41E-16,PEMT,FN1
PEMT.ANXA32,1.62E-57,0.756896778,0.69,0.354,5.06E-53,PEMT,ANXA3
PEMT.ACTB4,3.17E-66,0.743875975,1,0.997,9.89E-62,PEMT,ACTB
PEMT.ITGA2,1.05E-42,0.741573566,0.688,0.416,3.27E-38,PEMT,ITGA2
PEMT.CST62,3.78E-19,0.739338399,0.559,0.402,1.18E-14,PEMT,CST6
PEMT.TNC,5.46E-16,0.728196007,0.523,0.358,1.70E-11,PEMT,TNC
PEMT.EDN12,2.59E-44,0.695542005,0.456,0.181,8.09E-40,PEMT,EDN1
PEMT.ICAM12,1.07E-21,0.684848619,0.655,0.477,3.35E-17,PEMT,ICAM1
PEMT.TACSTD2,2.00E-29,0.676999819,0.858,0.788,6.24E-25,PEMT,TACSTD2
PEMT.FSTL1,9.10E-29,0.668738484,0.466,0.243,2.84E-24,PEMT,FSTL1
PEMT.CAV22,2.90E-33,0.665208549,0.752,0.531,9.06E-29,PEMT,CAV2
PEMT.CTGF1,4.90E-08,0.655079144,0.329,0.213,0.00152975,PEMT,CTGF
PEMT.TUBA4A1,1.04E-34,0.63696278,0.665,0.429,3.23E-30,PEMT,TUBA4A
PEMT.S100A163,3.77E-20,0.634776993,0.879,0.723,1.18E-15,PEMT,S100A16
PEMT.ITGB11,1.41E-42,0.633871459,0.918,0.78,4.39E-38,PEMT,ITGB1
PEMT.GJA11,3.44E-25,0.631736872,0.468,0.25,1.07E-20,PEMT,GJA1
PEMT.OCIAD21,1.37E-32,0.623661697,0.952,0.879,4.27E-28,PEMT,OCIAD2
PEMT.ACTG12,1.12E-49,0.621513205,0.999,0.993,3.48E-45,PEMT,ACTG1
PEMT.MYH91,8.43E-49,0.618581337,0.887,0.715,2.63E-44,PEMT,MYH9
PEMT.CD24,4.73E-29,0.610793943,0.894,0.75,1.48E-24,PEMT,CD24
PEMT.RRAD2,3.64E-15,0.610505879,0.389,0.246,1.14E-10,PEMT,RRAD
PEMT.RAB11FIP1,6.65E-27,0.60949182,0.73,0.535,2.07E-22,PEMT,RAB11FIP1
PEMT.TIMP3,1.79E-09,0.608888234,0.25,0.153,5.57E-05,PEMT,TIMP3
PEMT.CLTB1,2.34E-23,0.608029012,0.728,0.557,7.30E-19,PEMT,CLTB
PEMT.SH3BGRL32,5.47E-25,0.602326043,0.94,0.844,1.71E-20,PEMT,SH3BGRL3
PEMT.IFI274,4.61E-11,0.598790935,0.754,0.64,1.44E-06,PEMT,IFI27
PEMT.LMNA2,5.40E-39,0.58702962,0.955,0.861,1.69E-34,PEMT,LMNA
PEMT.PRSS231,2.04E-30,0.586561815,0.77,0.546,6.36E-26,PEMT,PRSS23
PEMT.TAGLN1,1.04E-08,0.585774382,0.253,0.167,0.000326019,PEMT,TAGLN
PEMT.LGALS15,2.28E-10,0.582778222,0.698,0.581,7.12E-06,PEMT,LGALS1
PEMT.TPM42,4.75E-31,0.575828107,0.821,0.625,1.48E-26,PEMT,TPM4
PEMT.QSOX11,5.02E-24,0.573890497,0.772,0.601,1.57E-19,PEMT,QSOX1
PEMT.TPM12,2.39E-17,0.57041537,0.806,0.655,7.46E-13,PEMT,TPM1
PEMT.PLEC1,2.16E-32,0.563557265,0.743,0.502,6.74E-28,PEMT,PLEC
PEMT.PDLIM7,1.75E-40,0.55898136,0.532,0.255,5.47E-36,PEMT,PDLIM7
PEMT.SFN1,3.15E-25,0.556800983,0.88,0.749,9.83E-21,PEMT,SFN
PEMT.MYL12A1,1.82E-35,0.549728152,0.981,0.927,5.69E-31,PEMT,MYL12A
PEMT.KRT193,3.93E-26,0.546238624,0.974,0.911,1.23E-21,PEMT,KRT19
PEMT.AKAP121,1.82E-15,0.546105261,0.251,0.132,5.68E-11,PEMT,AKAP12
PEMT.MAP1B,9.93E-24,0.539058347,0.43,0.205,3.10E-19,PEMT,MAP1B
PEMT.ACTN1,4.94E-30,0.534474725,0.642,0.437,1.54E-25,PEMT,ACTN1
PEMT.CALD1,1.25E-17,0.53306965,0.487,0.32,3.90E-13,PEMT,CALD1
PEMT.CCND12,1.68E-24,0.532930796,0.826,0.672,5.24E-20,PEMT,CCND1
PEMT.CKB,8.35E-19,0.532551411,0.734,0.592,2.61E-14,PEMT,CKB
PEMT.MACC1,9.02E-32,0.530525426,0.609,0.386,2.81E-27,PEMT,MACC1
PEMT.ANXA24,2.03E-30,0.522934019,0.983,0.921,6.34E-26,PEMT,ANXA2
PEMT.DCBLD22,3.68E-23,0.5208861,0.57,0.357,1.15E-18,PEMT,DCBLD2
PEMT.KRT83,4.24E-23,0.513688058,0.977,0.931,1.32E-18,PEMT,KRT8
PEMT.GLS,5.80E-29,0.510516022,0.609,0.405,1.81E-24,PEMT,GLS
PEMT.S100A62,3.88E-33,0.510428421,0.997,0.989,1.21E-28,PEMT,S100A6
PEMT.TUBB2,2.51E-33,0.504694788,0.923,0.791,7.83E-29,PEMT,TUBB
PEMT.ANXA13,1.49E-24,0.501788044,0.881,0.703,4.64E-20,PEMT,ANXA1
PEMT.HSPB14,1.00E-19,0.498616193,0.983,0.941,3.13E-15,PEMT,HSPB1
PEMT.ITGB4,4.46E-21,0.495172323,0.609,0.428,1.39E-16,PEMT,ITGB4
PEMT.ANGPTL42,1.34E-06,0.492748744,0.36,0.248,0.0417869,PEMT,ANGPTL4
PEMT.ITGAV,7.96E-27,0.491957294,0.627,0.429,2.48E-22,PEMT,ITGAV
PEMT.S100A4,0.001531602,0.486591934,0.668,0.605,1,PEMT,S100A4
PEMT.EMP32,1.77E-13,0.485644715,0.513,0.356,5.52E-09,PEMT,EMP3
PEMT.CAPN21,2.96E-35,0.485442574,0.909,0.768,9.24E-31,PEMT,CAPN2
PEMT.PALLD,4.57E-29,0.484332501,0.543,0.297,1.43E-24,PEMT,PALLD
PEMT.PDLIM4,7.81E-25,0.483515274,0.428,0.23,2.44E-20,PEMT,PDLIM4
PEMT.S100A112,2.88E-31,0.478750166,0.997,0.989,8.98E-27,PEMT,S100A11
PEMT.EMP21,5.53E-06,0.475406079,0.709,0.667,0.172531499,PEMT,EMP2
PEMT.LBH,7.56E-28,0.475121761,0.474,0.236,2.36E-23,PEMT,LBH
PEMT.CDA1,2.46E-07,0.474550098,0.275,0.169,0.007668325,PEMT,CDA
PEMT.TAGLN21,2.82E-32,0.470517584,0.981,0.951,8.81E-28,PEMT,TAGLN2
PEMT.KLF64,3.52E-21,0.46906926,0.893,0.748,1.10E-16,PEMT,KLF6
PEMT.TES1,5.22E-30,0.46341561,0.744,0.518,1.63E-25,PEMT,TES
PEMT.CD1511,2.14E-28,0.460296562,0.934,0.843,6.68E-24,PEMT,CD151
PEMT.HLA-B3,2.30E-13,0.45877319,0.983,0.949,7.17E-09,PEMT,HLA-B
PEMT.LMO71,5.42E-17,0.457859548,0.756,0.622,1.69E-12,PEMT,LMO7
PEMT.PPP1R14B3,2.06E-21,0.456295725,0.915,0.78,6.43E-17,PEMT,PPP1R14B
PEMT.ITGA32,3.30E-24,0.45063482,0.816,0.675,1.03E-19,PEMT,ITGA3
OxPhos.TFF3,3.07E-114,1.670262691,0.865,0.435,9.58E-110,OxPhos,TFF3
OxPhos.ATP5I3,4.74E-150,1.545614147,0.881,0.488,1.48E-145,OxPhos,ATP5I
OxPhos.SEPP1,2.13E-135,1.485502916,0.787,0.33,6.66E-131,OxPhos,SEPP1
OxPhos.SNHG18,8.27E-140,1.427956521,0.728,0.253,2.58E-135,OxPhos,SNHG18
OxPhos.CEACAM61,3.49E-111,1.420411921,0.936,0.723,1.09E-106,OxPhos,CEACAM6
OxPhos.ATP5J23,7.81E-121,1.275469666,0.877,0.483,2.44E-116,OxPhos,ATP5J2
OxPhos.MYEOV23,1.62E-119,1.274583995,0.848,0.457,5.05E-115,OxPhos,MYEOV2
OxPhos.CRIP13,2.11E-109,1.256590088,0.792,0.383,6.58E-105,OxPhos,CRIP1
OxPhos.IGF21,5.34E-135,1.239934359,0.713,0.201,1.67E-130,OxPhos,IGF2
OxPhos.NDUFA33,1.56E-126,1.237081612,0.907,0.694,4.87E-122,OxPhos,NDUFA3
OxPhos.SHFM14,5.01E-121,1.229111766,0.866,0.484,1.56E-116,OxPhos,SHFM1
OxPhos.RP11-469H8.62,1.52E-111,1.225178138,0.625,0.173,4.74E-107,OxPhos,RP11-469H8.6
OxPhos.TUBA1A1,1.52E-96,1.196990894,0.824,0.534,4.74E-92,OxPhos,TUBA1A
OxPhos.RNASE13,3.42E-105,1.192869691,0.98,0.755,1.07E-100,OxPhos,RNASE1
OxPhos.LDHB3,1.74E-121,1.181520617,0.956,0.856,5.42E-117,OxPhos,LDHB
OxPhos.H2AFJ2,2.31E-121,1.178905631,0.893,0.628,7.21E-117,OxPhos,H2AFJ
OxPhos.DUSP23,2.25E-72,1.153349411,0.85,0.689,7.01E-68,OxPhos,DUSP23
OxPhos.RP11-532F12.5,1.13E-104,1.127963961,0.73,0.333,3.52E-100,OxPhos,RP11-532F12.5
OxPhos.C14orf23,1.01E-107,1.121961988,0.864,0.494,3.16E-103,OxPhos,C14orf2
OxPhos.SRI2,4.31E-119,1.119585629,0.919,0.785,1.35E-114,OxPhos,SRI
OxPhos.NDUFS63,4.08E-118,1.113406308,0.957,0.841,1.27E-113,OxPhos,NDUFS6
OxPhos.ADIRF3,1.31E-96,1.109046483,0.84,0.486,4.09E-92,OxPhos,ADIRF
OxPhos.CIB11,5.51E-119,1.108134625,0.924,0.803,1.72E-114,OxPhos,CIB1
OxPhos.SNHG25,1.36E-99,1.103728471,0.823,0.486,4.25E-95,OxPhos,SNHG25
OxPhos.B3GNT7,5.15E-81,1.09719007,0.608,0.27,1.61E-76,OxPhos,B3GNT7
OxPhos.ATP5E3,2.90E-87,1.052855386,0.892,0.527,9.06E-83,OxPhos,ATP5E
OxPhos.DGCR6,7.73E-79,1.030767477,0.531,0.193,2.41E-74,OxPhos,DGCR6
OxPhos.RP11-51J9.51,1.16E-89,1.030457595,0.552,0.158,3.63E-85,OxPhos,RP11-51J9.5
OxPhos.RPS195,3.21E-112,1.030128801,0.995,0.989,1.00E-107,OxPhos,RPS19
OxPhos.LAMTOR43,2.40E-108,1.012733843,0.922,0.779,7.48E-104,OxPhos,LAMTOR4
OxPhos.RPS293,7.59E-128,1.008858319,0.996,0.983,2.37E-123,OxPhos,RPS29
OxPhos.SNHG19,4.03E-80,1.005654489,0.638,0.317,1.26E-75,OxPhos,SNHG19
OxPhos.SNRPD24,7.51E-115,1.004404202,0.94,0.812,2.34E-110,OxPhos,SNRPD2
OxPhos.CLDN42,1.01E-109,1.00014136,0.949,0.827,3.16E-105,OxPhos,CLDN4
OxPhos.NDUFB22,4.16E-117,0.997391197,0.961,0.869,1.30E-112,OxPhos,NDUFB2
OxPhos.POLR2I3,4.65E-110,0.992057329,0.898,0.73,1.45E-105,OxPhos,POLR2I
OxPhos.SUB14,2.55E-106,0.990305682,0.954,0.886,7.96E-102,OxPhos,SUB1
