,subtype,regulon,Z
104,CAF.ADH1B,SOX11,-0.19382493888602792
105,CAF.ADH1B,SOX15,0.40151569539315085
106,CAF.ADH1B,SOX4,0.002702437071624982
107,CAF.ADH1B,SOX7,-0.18276721958289407
108,CAF.ADH1B,SP1,-0.205897365925127
109,CAF.ADH1B,SP2,-0.008653361649169258
110,CAF.ADH1B,SP6,0.08996792319415317
111,CAF.ADH1B,SPI1,-0.0686829791309059
112,CAF.ADH1B,SPIB,0.2811846155638392
113,CAF.ADH1B,SREBF2,0.5868729052650464
114,CAF.ADH1B,SRF,-0.4044639810354363
115,CAF.ADH1B,STAT1,-0.2687529456286587
116,CAF.ADH1B,STAT2,0.13112566404084305
117,CAF.ADH1B,TBP,0.205266089780263
118,CAF.ADH1B,TCF12,0.9797709215859628
119,CAF.ADH1B,TCF7L1,0.27853193878468807
120,CAF.ADH1B,TCF7L2,0.3462091561134641
121,CAF.ADH1B,TEAD4,-0.6070325236591396
122,CAF.ADH1B,TFAP2A,0.06541800917348613
123,CAF.ADH1B,TFCP2L1,-0.04515148974182023
124,CAF.ADH1B,TFDP1,-0.6259763257836733
125,CAF.ADH1B,TFE3,-0.16458647481572874
126,CAF.ADH1B,TFEB,-0.3001832027767193
127,CAF.ADH1B,TGIF2,0.4544103108365408
128,CAF.ADH1B,THAP1,0.046247641277525314
129,CAF.ADH1B,THAP11,0.1376338376627352
130,CAF.ADH1B,TP53,-0.08088909082715895
131,CAF.ADH1B,TWIST1,0.1931327157519415
132,CAF.ADH1B,USF1,-0.10815570602165167
133,CAF.ADH1B,XBP1,-0.36414264200703667
134,CAF.ADH1B,YY1,0.08485256968970262
135,CAF.ADH1B,YY2,-0.1690240834609956
136,CAF.ADH1B,ZBTB33,-0.07453326894835254
137,CAF.ADH1B,ZFP64,0.13504399764089597
138,CAF.ADH1B,ZFP91,-0.16334948330967794
139,CAF.ADH1B,ZNF143,-0.25099860618082137
140,CAF.ADH1B,ZNF155,0.5100490851254728
141,CAF.ADH1B,ZNF189,-0.06561062766213437
142,CAF.ADH1B,ZNF319,-0.04882187489632347
143,CAF.ADH1B,ZNF320,0.07905323584502316
144,CAF.ADH1B,ZNF383,1.3865877976877
145,CAF.ADH1B,ZNF423,0.14345686642991778
146,CAF.ADH1B,ZNF426,0.8661699711794871
147,CAF.ADH1B,ZNF433,0.08191595877089616
148,CAF.ADH1B,ZNF526,0.2149426470549692
149,CAF.ADH1B,ZNF527,0.12607121052268813
150,CAF.ADH1B,ZNF583,0.4141084969015532
151,CAF.ADH1B,ZNF671,-0.05780792378713856
152,CAF.ADH1B,ZNF860,1.0086724997844594
153,CAF.ADH1B,ZNF91,0.36276822541026
154,CAF.APOE.IGFBP,AHRR,-0.11108260464795376
155,CAF.APOE.IGFBP,ARID3A,-0.42216117506083123
156,CAF.APOE.IGFBP,ARNT,0.2722061055001859
157,CAF.APOE.IGFBP,ATF3,0.1618589955681775
158,CAF.APOE.IGFBP,ATF4,-0.0033996497017723523
159,CAF.APOE.IGFBP,ATF6,-0.1867508266710793
160,CAF.APOE.IGFBP,BACH1,-0.046674662284573336
161,CAF.APOE.IGFBP,BHLHE40,0.5752698046780154
162,CAF.APOE.IGFBP,CEBPA,-0.16699413756433867
163,CAF.APOE.IGFBP,CEBPB,-0.04552808356793297
164,CAF.APOE.IGFBP,CEBPD,-0.2565902921112839
165,CAF.APOE.IGFBP,CREB1,-0.0782243236457365
166,CAF.APOE.IGFBP,CREB3L1,0.2665310610629454
167,CAF.APOE.IGFBP,CREB3L2,0.6429190052929654
168,CAF.APOE.IGFBP,CREM,0.09058960928148334
169,CAF.APOE.IGFBP,CUX1,0.4161590763794334
170,CAF.APOE.IGFBP,E2F1,-0.40260856362592806
171,CAF.APOE.IGFBP,E2F2,-0.0699474428729948
172,CAF.APOE.IGFBP,E2F3,-0.4016251087384855
173,CAF.APOE.IGFBP,E2F4,-0.21136626249933416
174,CAF.APOE.IGFBP,E2F7,-0.10168152931632421
175,CAF.APOE.IGFBP,E2F8,-0.37158952673164275
176,CAF.APOE.IGFBP,EBF1,-0.30695994254303716
177,CAF.APOE.IGFBP,EGR1,-0.021668848208279416
178,CAF.APOE.IGFBP,EGR2,0.04035666230855249
179,CAF.APOE.IGFBP,EHF,-0.09384861761278158
180,CAF.APOE.IGFBP,ELF1,-0.18279551270735095
181,CAF.APOE.IGFBP,ELF3,-0.06611735624650782
182,CAF.APOE.IGFBP,ELK1,-0.1683000792964442
183,CAF.APOE.IGFBP,ELK3,0.7302904516516296
184,CAF.APOE.IGFBP,ERF,-0.16239926603478888
185,CAF.APOE.IGFBP,ERG,0.2929168758324177
186,CAF.APOE.IGFBP,ESRRA,-0.09377986055319436
187,CAF.APOE.IGFBP,ETS2,0.0028799470331264967
188,CAF.APOE.IGFBP,ETV1,0.622884608720442
189,CAF.APOE.IGFBP,ETV2,-0.042823344379182324
190,CAF.APOE.IGFBP,ETV5,-0.26377680145396815
191,CAF.APOE.IGFBP,ETV7,0.018742976222185
192,CAF.APOE.IGFBP,FOS,0.07790178380967429
193,CAF.APOE.IGFBP,FOSB,-0.13230214625891762
194,CAF.APOE.IGFBP,FOSL1,0.3489306938203697
195,CAF.APOE.IGFBP,FOXA1,-0.1939847834660077
196,CAF.APOE.IGFBP,FOXF1,-0.6804632471087458
197,CAF.APOE.IGFBP,FOXF2,-0.3383612071689601
198,CAF.APOE.IGFBP,FOXN2,-0.07830167408516381
199,CAF.APOE.IGFBP,FOXO1,0.016174550262523995
200,CAF.APOE.IGFBP,FOXO3,-0.2825216349688654
201,CAF.APOE.IGFBP,FOXP1,-0.04702546437889653
202,CAF.APOE.IGFBP,FOXP2,-0.32227482447107647
203,CAF.APOE.IGFBP,GABPA,-0.12020987354372066
204,CAF.APOE.IGFBP,GATA2,-0.1978854454545392
205,CAF.APOE.IGFBP,GATA3,-0.14915179894039315
206,CAF.APOE.IGFBP,GATA5,-0.2697055093904587
207,CAF.APOE.IGFBP,GATA6,0.17931042447947323
208,CAF.APOE.IGFBP,GLI3,0.1728643846495935
209,CAF.APOE.IGFBP,GRHL1,-0.18845149660364655
210,CAF.APOE.IGFBP,HES1,-0.176165403329644
211,CAF.APOE.IGFBP,HIVEP1,-0.2384372478345508
212,CAF.APOE.IGFBP,HIVEP3,-0.14967272453879957
213,CAF.APOE.IGFBP,HOXA2,0.2582909030666016
214,CAF.APOE.IGFBP,HOXB2,0.25492099605823054
215,CAF.APOE.IGFBP,IKZF1,-0.502185622866863
216,CAF.APOE.IGFBP,IRF1,-0.04128219035696183
217,CAF.APOE.IGFBP,IRF2,-0.3384444679689891
218,CAF.APOE.IGFBP,IRF7,-0.009368801744729977
219,CAF.APOE.IGFBP,IRF8,-0.16911884858145773
220,CAF.APOE.IGFBP,IRX3,-0.1801652295742592
221,CAF.APOE.IGFBP,JUN,0.04285008806634883
222,CAF.APOE.IGFBP,JUNB,-0.0016585762795585188
223,CAF.APOE.IGFBP,KLF16,0.19249882604543844
224,CAF.APOE.IGFBP,KLF5,-0.08270150434556785
225,CAF.APOE.IGFBP,KLF6,-0.4647281861590436
226,CAF.APOE.IGFBP,KLF9,-0.2078967834493812
227,CAF.APOE.IGFBP,LEF1,-0.5267210398500847
228,CAF.APOE.IGFBP,MAFG,-0.005138082734034011
229,CAF.APOE.IGFBP,MEF2C,-0.35177114264042453
230,CAF.APOE.IGFBP,MEF2D,-0.25143171729435554
231,CAF.APOE.IGFBP,MLX,0.24017354632077584
232,CAF.APOE.IGFBP,MLXIP,-0.14105801768916418
233,CAF.APOE.IGFBP,MYB,-0.05302172357742686
234,CAF.APOE.IGFBP,MYBL2,-0.4170612285739436
235,CAF.APOE.IGFBP,MYC,-0.27584179742243303
236,CAF.APOE.IGFBP,MYCN,-0.10786742054312401
237,CAF.APOE.IGFBP,NFAT5,0.039179025566632476
238,CAF.APOE.IGFBP,NFATC2,-0.49419933369062635
239,CAF.APOE.IGFBP,NFATC4,0.1835409916117471
240,CAF.APOE.IGFBP,NFE2L1,-0.06919518721004118
241,CAF.APOE.IGFBP,NFIL3,-0.0046603305452599195
242,CAF.APOE.IGFBP,NFKB2,-0.252944116081191
243,CAF.APOE.IGFBP,NKX2-1,-0.15142723341636177
244,CAF.APOE.IGFBP,NR4A3,0.04561754432775882
245,CAF.APOE.IGFBP,ONECUT2,-0.11258973610218038
246,CAF.APOE.IGFBP,PITX3,-0.2663575624944252
247,CAF.APOE.IGFBP,PRDM1,-0.2546068379202709
248,CAF.APOE.IGFBP,RARG,0.8030227515576353
249,CAF.APOE.IGFBP,RBAK,-0.16948574307353698
250,CAF.APOE.IGFBP,REL,0.1601057299356932
251,CAF.APOE.IGFBP,RELA,0.02379891939405987
252,CAF.APOE.IGFBP,RELB,-0.19324175004298708
253,CAF.APOE.IGFBP,RFX5,-0.32427621198629936
254,CAF.APOE.IGFBP,RFX8,-0.02037674397631762
255,CAF.APOE.IGFBP,RUNX1,-0.05866103658027128
256,CAF.APOE.IGFBP,RXRA,0.14639241162541625
257,CAF.APOE.IGFBP,RXRG,-0.2921680365903573
258,CAF.APOE.IGFBP,SOX11,-0.2089627614396483
259,CAF.APOE.IGFBP,SOX15,0.03656862036014916
260,CAF.APOE.IGFBP,SOX4,-0.39983872271672005
261,CAF.APOE.IGFBP,SOX7,-0.1681505939960249
262,CAF.APOE.IGFBP,SP1,-0.14857958865347637
263,CAF.APOE.IGFBP,SP2,-0.21400846265340417
264,CAF.APOE.IGFBP,SP6,0.14253638078278713
265,CAF.APOE.IGFBP,SPI1,0.04161349230272402
266,CAF.APOE.IGFBP,SPIB,0.09728658756260634
267,CAF.APOE.IGFBP,SREBF2,-0.1528700300727343
268,CAF.APOE.IGFBP,SRF,-0.4397737499647019
269,CAF.APOE.IGFBP,STAT1,-0.02063548464021251
270,CAF.APOE.IGFBP,STAT2,-0.06107687182648722
271,CAF.APOE.IGFBP,TBP,-0.22242791169019702
272,CAF.APOE.IGFBP,TCF12,-0.15175641605089232
273,CAF.APOE.IGFBP,TCF7L1,-0.04530895917450882
274,CAF.APOE.IGFBP,TCF7L2,-0.1614193672903077
275,CAF.APOE.IGFBP,TEAD4,-0.14527473801176655
276,CAF.APOE.IGFBP,TFAP2A,-0.11318076553374294
277,CAF.APOE.IGFBP,TFCP2L1,0.052663843476375906
278,CAF.APOE.IGFBP,TFDP1,-0.15502928973939428
279,CAF.APOE.IGFBP,TFE3,-0.1512814864761453
280,CAF.APOE.IGFBP,TFEB,-0.09939068643798296
281,CAF.APOE.IGFBP,TGIF2,-0.12002436651832177
282,CAF.APOE.IGFBP,THAP1,-0.2205891310445881
283,CAF.APOE.IGFBP,THAP11,-0.08071845585608073
284,CAF.APOE.IGFBP,TP53,-0.23263645852042397
285,CAF.APOE.IGFBP,TWIST1,-0.22176498975857004
286,CAF.APOE.IGFBP,USF1,-0.31724303785847785
287,CAF.APOE.IGFBP,XBP1,0.26345980891655413
288,CAF.APOE.IGFBP,YY1,-0.41259633908690485
289,CAF.APOE.IGFBP,YY2,-0.18386761537074753
290,CAF.APOE.IGFBP,ZBTB33,0.11129777279431484
291,CAF.APOE.IGFBP,ZFP64,0.19027310519859456
292,CAF.APOE.IGFBP,ZFP91,-0.15258832777393563
293,CAF.APOE.IGFBP,ZNF143,-0.027223672686692346
294,CAF.APOE.IGFBP,ZNF155,-0.285822576565487
295,CAF.APOE.IGFBP,ZNF189,-0.3001347691474334
296,CAF.APOE.IGFBP,ZNF319,-0.05822474402005691
297,CAF.APOE.IGFBP,ZNF320,-0.11289482392790881
298,CAF.APOE.IGFBP,ZNF383,-0.21491781186672185
299,CAF.APOE.IGFBP,ZNF423,0.3250312500168158
300,CAF.APOE.IGFBP,ZNF426,-0.05261937813255833
301,CAF.APOE.IGFBP,ZNF433,0.3818902736380411
302,CAF.APOE.IGFBP,ZNF526,0.047484352477728434
303,CAF.APOE.IGFBP,ZNF527,-0.2561247435459107
304,CAF.APOE.IGFBP,ZNF583,0.05961098112399006
305,CAF.APOE.IGFBP,ZNF671,-0.2632719526111629
306,CAF.APOE.IGFBP,ZNF860,-0.24371010072029456
307,CAF.APOE.IGFBP,ZNF91,0.06857775109361552
308,CAF.COL,AHRR,-0.0713153488745399
309,CAF.COL,ARID3A,-0.2223337808258766
310,CAF.COL,ARNT,0.17118935599034985
311,CAF.COL,ATF3,0.05507236438020269
312,CAF.COL,ATF4,-0.04947301571611666
313,CAF.COL,ATF6,-0.007402717772809812
314,CAF.COL,BACH1,0.43952593368450493
315,CAF.COL,BHLHE40,0.5466381942046081
316,CAF.COL,CEBPA,-0.15325327963641258
317,CAF.COL,CEBPB,0.3266813667369884
318,CAF.COL,CEBPD,-0.6425369994815822
319,CAF.COL,CREB1,-0.18064514044999505
320,CAF.COL,CREB3L1,0.8551910088979089
321,CAF.COL,CREB3L2,0.7300383058408337
322,CAF.COL,CREM,-0.41181885644930194
323,CAF.COL,CUX1,0.8097109097292163
324,CAF.COL,E2F1,-0.09050495992738448
325,CAF.COL,E2F2,-0.060720187609301327
326,CAF.COL,E2F3,0.18314992374807085
327,CAF.COL,E2F4,-0.011114995573079512
328,CAF.COL,E2F7,-0.15002209360014218
329,CAF.COL,E2F8,-0.4316616319994055
330,CAF.COL,EBF1,-0.4370650899495722
331,CAF.COL,EGR1,-0.1147916233168351
332,CAF.COL,EGR2,0.5527921310639831
333,CAF.COL,EHF,0.19794422072511497
334,CAF.COL,ELF1,0.07803572281860548
335,CAF.COL,ELF3,0.010652032550834635
336,CAF.COL,ELK1,0.016314215158444532
337,CAF.COL,ELK3,0.3651075230944591
338,CAF.COL,ERF,-0.21134823672680492
339,CAF.COL,ERG,0.40192350302609253
340,CAF.COL,ESRRA,-0.028741522211449173
341,CAF.COL,ETS2,-0.04053768357058098
342,CAF.COL,ETV1,0.7220095559645352
343,CAF.COL,ETV2,0.12956577220499302
344,CAF.COL,ETV5,-0.20912422002031603
345,CAF.COL,ETV7,0.039937506060671146
346,CAF.COL,FOS,-0.20121119184803812
347,CAF.COL,FOSB,-0.12373767425404525
348,CAF.COL,FOSL1,0.13890713169251317
349,CAF.COL,FOXA1,-0.11093988312261321
350,CAF.COL,FOXF1,-0.09249659023452103
351,CAF.COL,FOXF2,-0.033097469087715575
352,CAF.COL,FOXN2,-0.29623899274243787
353,CAF.COL,FOXO1,0.46277695850771783
354,CAF.COL,FOXO3,-0.2774965014416446
355,CAF.COL,FOXP1,-0.07511867126782296
356,CAF.COL,FOXP2,0.09179836485543039
357,CAF.COL,GABPA,0.1247840440950569
358,CAF.COL,GATA2,0.028854977251411465
359,CAF.COL,GATA3,0.5026799477512004
360,CAF.COL,GATA5,-0.37022709839258605
361,CAF.COL,GATA6,-0.17434081027081452
362,CAF.COL,GLI3,0.6501425761835931
363,CAF.COL,GRHL1,0.25817830683967163
364,CAF.COL,HES1,0.5256051866513348
365,CAF.COL,HIVEP1,-0.13091838084826213
366,CAF.COL,HIVEP3,0.21011203828094546
367,CAF.COL,HOXA2,0.010924191311345156
368,CAF.COL,HOXB2,0.70448238267407
369,CAF.COL,IKZF1,-0.41058423521462056
370,CAF.COL,IRF1,-0.1561721529250276
371,CAF.COL,IRF2,-0.3148752660151145
372,CAF.COL,IRF7,-0.035485564632045614
373,CAF.COL,IRF8,-0.17543705059882145
374,CAF.COL,IRX3,0.20182756923820683
375,CAF.COL,JUN,-0.013155883991962995
376,CAF.COL,JUNB,-0.19530535063737403
377,CAF.COL,KLF16,0.09958815352705196
378,CAF.COL,KLF5,0.03861817656269104
379,CAF.COL,KLF6,0.57598101818137
380,CAF.COL,KLF9,-0.5061609953204387
381,CAF.COL,LEF1,0.6755782497787989
382,CAF.COL,MAFG,0.05413496679680235
383,CAF.COL,MEF2C,-0.5589580028820131
384,CAF.COL,MEF2D,-0.47487147303406224
385,CAF.COL,MLX,-0.15260277370683648
386,CAF.COL,MLXIP,0.20349341783333852
387,CAF.COL,MYB,0.17387164811863454
388,CAF.COL,MYBL2,-0.12142675542997901
389,CAF.COL,MYC,-0.4122078699950006
390,CAF.COL,MYCN,-0.24181753202383985
